,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230303796,18/01/2023 08:02:10 p. m.,364.15s,2,Failed,Setting Calibration RTC_CLK_OUT,0.186081,23.6720668,5.00830292,3.32506137,1.34737094,1.27320398,23.6722947,1.93112601,Passed,Passed,011F81,0288FFDC7FF20B119C4C000F,0289FFE07FE60B109C50000C,028AFFDD7FE00B0C9C50000F,028BFFDA7FE30B0B9C5B000A,028CFFD97FDF0B079C53000F,028DFFD97FE30B099C54000B,028EFFD27FDF0B0B9C540010,028FFFDD7FEB0B0D9C55000C,0290FFD07FE70B0F9C590017,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285449D0011577A00099C650010271B,02929C3E,Passed,Passed,2499.89713,0286D9DB778E0B5E6DE1000E89A30012,Passed,02876DE9001B,Passed,67060,57148,65709,65665,65995,78882,70460,53978,64965,65973,71323,27649,28592,23.8824363,23.8828611,23.8826993,23.8849474,23.8849891,23.8849919,23.885341,23.8851931,23.8852545,23.8833839,23.8834527,23.8861144,23.8862991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148366001,0.1690576,0.18456337,0.164133582,0.146024304,0.156126886,0.152688782,0.144445483,0.149263073,0.146930915,0.148432425,0.138604175,0.139318007,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9991,9994,9996,9995,9996,9994,9996,9996,9997,10.06,0.01,9.80,0.02,80.29,10.00,9.99,9998,10.01,10009,Passed,Passed,10.03,0.04,Passed,20479,37892,8439,17561,Passed,Passed,Passed,Passed,99999,99999,49624,Passed,0,0,0,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,
S230303452,18/01/2023 08:13:47 p. m.,502.38s,2,Passed,,0.186691,23.7786953,4.99937616,3.3281381,1.34915754,1.27588223,23.7788859,1.939921,Passed,Passed,011F81,0288FFD57FD30B109C920006,0289FFD87FD10B0E9C880013,028AFFD17FD10B0C9C8C0015,028BFFCF7FD10B0A9C8E0015,028CFFCF7FD30B089C8E0013,028DFFCF7FD00B099C8C0019,028EFFC97FD80B0B9C900018,028FFFD37FD80B0C9C8B0014,0290FFC97FDB0B0E9C910018,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D8001957AF00139C94001B2719,02929C77,Passed,Passed,2503.43753,0286D9C777940B5B6E56000B8A86000D,Passed,02876E540019,Passed,70372,50515,66956,66126,69578,75876,71608,55224,66534,61092,71068,24209,23882,23.883268,23.8833765,23.8833107,23.8851919,23.8854858,23.8855662,23.8857579,23.8854223,23.8859422,23.884375,23.8842612,23.8867278,23.887059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979210372,0.122730671,0.143518166,0.139894283,0.12891607,0.14382993,0.145954726,0.141405344,0.152869464,0.15497041,0.156456057,0.146654365,0.153442941,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10008,10005,10004,10005,10005,10004,10004,10003,10002,10.07,0.00,10.02,0.00,80.13,9.99,9.99,9996,10.01,10005,Passed,Passed,10.00,0.04,Passed,20284,36766,8089,16646,Passed,Passed,Passed,Passed,99999,99999,45790,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.6246,Passed,Passed,Passed,00:12:EA:11:02:94,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230303688,18/01/2023 08:24:17 p. m.,503.42s,2,Passed,,0.187653,23.6675646,4.97644466,3.30200882,1.33999072,1.27688205,23.6684778,1.95053169,Passed,Passed,011F81,0288FFD47FE80B119C73000F,0289FFDB7FDE0B0E9C780005,028AFFDA7FDB0B089C7B000A,028BFFD87FDE0B069C790010,028CFFDB7FDB0B049C7E0010,028DFFD57FDE0B059C790016,028EFFD47FDA0B069C71001E,028FFFCF7FE00B099C780016,0290FFD07FE30B0B9C800014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544F90012579E00109C8300122714,02929C69,Passed,Passed,2502.55073,0286D88476EB0B5E6DD8FFFE89AB000A,Passed,02876E3C0018,Passed,64711,63467,65125,63244,59484,76662,69075,59364,62143,60447,68599,30600,26223,23.8821741,23.8824399,23.8826905,23.8843412,23.8844894,23.884667,23.8846768,23.8848463,23.8846955,23.8832725,23.8832668,23.8858793,23.8859679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125621346,0.14831928,0.16679396,0.15575173,0.140334058,0.153112234,0.151876575,0.145528942,0.155562215,0.156614607,0.157188416,0.146670888,0.15291745,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10002,10002,10001,10001,10000,10001,10000,10001,10000,10.04,0.01,10.01,0.01,80.33,10.00,9.98,9996,10.01,9999,Passed,Passed,9.97,0.04,Passed,20087,36317,8089,17108,Passed,Passed,Passed,Passed,99999,99999,46077,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9393,Passed,Passed,Passed,00:12:EA:11:02:95,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230302425,18/01/2023 08:29:27 p. m.,132.29s,2,Failed,24 VAC Binary Output 9,0.183487,23.7424495,5.01095101,3.32573326,1.34757426,1.27238017,23.7422257,1.9342787,Passed,Passed,011F81,0288FFD87FDF0B0A9C270002,0289FFDE7FDD0B099C210009,028AFFDB7FD40B049C22000F,028BFFD97FDC0B029C1B001C,028CFFDA7FD70B009C200014,028DFFD87FDB0B019C230013,028EFFD57FD60B039C250014,028FFFDE7FDF0B059C24000E,0290FFD47FDB0B079C250015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D900165756000B9C29001E271F,02929C0E,Passed,Passed,2496.90391,0286D9FD77A80B606E38000E8A330015,Passed,02876E1C001C,Passed,67163,55659,67266,65194,56191,79231,71508,55731,63442,57838,68405,24209,28460,23.8915152,23.8917995,23.8917734,23.8942165,23.8945996,23.894504,23.8944184,23.8950537,0.0486050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230303977,18/01/2023 08:39:35 p. m.,501.45s,2,Passed,,0.185181,23.8279798,5.01678652,3.31021939,1.34997521,1.27825203,23.8283584,1.8808944,Passed,Passed,011F81,0288FFD67FD80B0E9C380013,0289FFDA7FD50B0C9C3D000A,028AFFD97FCF0B089C400011,028BFFD67FD00B059C430012,028CFFD37FD00B039C410015,028DFFD67FD30B049C420011,028EFFCE7FD10B069C3F0013,028FFFD97FD20B079C42000D,0290FFCD7FD80B0A9C480016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544AC0019578800079C47001C271E,02929C28,Passed,Passed,2498.49987,0286D8F677330B556DF4001089D50014,Passed,02876E32001D,Passed,70827,57708,66577,65820,60561,79757,72633,60617,60102,64595,70600,39434,26075,23.8819629,23.8822004,23.8822359,23.884565,23.8845401,23.8846185,23.8846838,23.8846442,23.884838,23.8831211,23.8832585,23.8860811,23.8860271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106142374,0.129186259,0.145308936,0.134051678,0.125095554,0.135580024,0.136294838,0.131912944,0.136367925,0.135699604,0.140478249,0.134120061,0.136001831,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10005,10004,10002,10003,10003,10004,10002,10002,10002,10.06,0.01,9.89,0.00,80.34,10.00,9.99,9997,10.01,10012,Passed,Passed,9.99,0.04,Passed,19686,31305,8089,13900,Passed,Passed,Passed,Passed,99999,99999,48389,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.8714,Passed,Passed,Passed,00:12:EA:11:02:96,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230302953,18/01/2023 08:49:46 p. m.,502.48s,2,Passed,,0.188675,23.6793292,4.97855588,3.33690638,1.34632985,1.27717751,23.6797499,23.6791757,Passed,Passed,011F81,0288FFC67FDC0B119C2B0005,0289FFCF7FD50B109C1D0013,028AFFC97FD80B0B9C26000E,028BFFC67FDD0B0A9C2C000D,028CFFC97FDD0B079C230011,028DFFC57FDC0B089C260010,028EFFC47FE20B0A9C220016,028FFFCC7FE20B0B9C250013,0290FFC67FE20B0C9C2B000F,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285449E000D577400079C37000B2709,02929C16,Passed,Passed,2497.34826,0286DB2E78520B726DD6001589D9000F,Passed,02876E2F001C,Passed,70775,61203,64827,62765,67893,78346,72184,60189,60645,70653,70775,26370,21243,23.8780028,23.8783525,23.8785298,23.8813186,23.8814513,23.8818202,23.8817858,23.8817254,23.8817338,23.8792542,23.8792959,23.882783,23.8826625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112318461,0.120809447,0.136209042,0.122960911,0.114780448,0.119309324,0.117803316,0.107629843,0.11730337,0.118929474,0.112855745,0.113844139,0.110970594,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10011,10008,10006,10007,10005,10007,10004,10004,10002,10.08,0.01,10.05,0.01,80.30,9.99,10.00,9977,10.01,9994,Passed,Passed,10.03,0.04,Passed,19278,35764,8089,16646,Passed,Passed,Passed,Passed,99999,99999,44420,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0359,Passed,Passed,Passed,00:12:EA:11:02:97,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
