,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
S230306357,21/01/2023 12:50:20 a. m.,518.61s,2,Passed,,0.184601,23.7564831,5.00458933,3.31921666,1.34858335,1.27200541,23.756264,23.7556556,Passed,Passed,011F81,0288FFD77FF00B129C450007,0289FFDD7FE40B109C45000A,028AFFD87FE10B0D9C46000A,028BFFD57FE40B0B9C4A000E,028CFFD47FE00B089C3F0017,028DFFD47FE20B0A9C460012,028EFFCD7FE00B0B9C460013,028FFFD67FE50B0C9C46000E,0290FFCC7FE60B0F9C46001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544CC0018579600199C55000F271D,02929C30,Passed,Passed,2498.9879,0286D974775C0B596E42000A8A5E000D,Passed,02876E620019,Passed,68052,60217,64850,62405,69113,80103,74500,63663,68230,71255,71542,31421,22339,23.8740936,23.8742574,23.8738884,23.8762861,23.8764481,23.8767495,23.8766748,23.8767491,23.8766708,23.875349,23.8753356,23.8777182,23.8779199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114853813,0.127573445,0.136666785,0.127204813,0.125951102,0.130136485,0.133796861,0.131810674,0.136803184,0.137424085,0.1340769,0.131898264,0.132835448,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9993,9996,9996,9996,9997,9996,9997,9996,9997,10.05,0.00,9.84,0.00,80.32,9.99,9.99,9997,10.01,10008,Passed,Passed,10.00,0.04,Passed,18222,32757,7733,12521,Passed,Passed,Passed,Passed,99999,99999,42887,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9865,Passed,Passed,Passed,00:12:EA:11:03:89,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306755,21/01/2023 12:53:43 a. m.,719.65s,1,Passed,,0.187393,23.6525172,5.00527612,3.31745538,1.34572733,1.2765903,23.6545261,23.654359,Passed,Passed,011F81,0288FFD77FE50B0F9C8B000D,0289FFD87FDE0B119C8B000B,028AFFD27FDC0B0A9C8D0012,028BFFD07FDD0B0C9C8E0014,028CFFD07FD90B069C8A0019,028DFFCE7FD10B059C8B0018,028EFFCB7FD00B089C900015,028FFFD37FD90B0B9C8C0014,0290FFCA7FDC0B0E9C930019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544EE0014579F00179C9A0015271B,02929C79,Passed,Passed,2503.55677,0286D93D77440B576E27000D8A34000F,Passed,02876EB4001C,Passed,55659,56191,32540,80444,61285,66212,76266,68171,34012,40943,8439,67389,76505,23.8692024,23.8694507,23.8695302,23.8714758,23.8715039,23.8717227,23.8716299,23.8716411,23.8718401,23.8692528,23.8705329,23.8725769,23.8726892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722559917,0.0764403652,0.0698422355,0.0786826622,0.0792521843,0.0847878978,0.0669472844,0.0736360162,0.0686109989,0.0829339201,0.0910150966,0.0847050773,0.0767033043,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9996,9997,9997,9998,9999,10000,9999,9998,9998,10.06,0.01,9.91,0.00,80.43,10.00,9.99,9997,10.01,10009,Passed,Passed,10.00,0.04,Passed,23549,51104,29494,23882,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.2152,Passed,Passed,Passed,00:12:EA:11:03:8A,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306505,21/01/2023 01:06:30 a. m.,524.52s,1,Passed,,0.189911,23.7449246,5.01595596,3.32303613,1.34588374,1.27880033,23.7465966,1.90434563,Passed,Passed,011F81,0288FFE17FDF0B0B9C1C000F,0289FFDB7FD90B0A9C1B0012,028AFFD87FD50B009C1C0016,028BFFD47FD80B039C1F0015,028CFFD17FD70AFC9C1D0017,028DFFCD7FD80AFD9C1D0017,028EFFCB7FD40AFE9C200014,028FFFD67FD90B049C1F0012,0290FFCA7FDC0B0A9C240014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544B60011576D00179C28001D2717,02929C0A,Passed,Passed,2496.59381,0286DA1C77D10B706E26000D89FE0012,Passed,02876E61001A,Passed,61985,59092,32757,81247,62431,65665,72410,72168,38636,36407,7371,71458,79404,23.8635581,23.8637662,23.8638444,23.8658257,23.8661282,23.8661155,23.8660876,23.8660993,23.8662636,23.863792,23.8649494,23.8667819,23.8671279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935020893,0.0957892038,0.0967051988,0.125760987,0.0970353171,0.0985546308,0.100467765,0.11177364,0.0952852822,0.109693936,0.116874907,0.11563353,0.116449996,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10003,10000,10002,10000,10000,9999,10000,10000,10000,10.05,0.01,9.81,0.00,80.26,10.00,9.99,9995,10.01,10004,Passed,Passed,10.02,0.04,Passed,24532,51459,30956,28723,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.5394,Passed,Passed,Passed,00:12:EA:11:03:8B,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306784,21/01/2023 01:09:39 a. m.,713.85s,2,Passed,,0.187515,23.7585639,4.99620137,3.33531682,1.35179242,1.27438056,23.7587151,23.7579456,Passed,Passed,011F81,0288FFEC7FED0B0D9C7F000B,0289FFED7FE00B089C780013,028AFFE87FDB0B059C7B0013,028BFFE77FDB0B029C78001E,028CFFE27FD90B019C76001E,028DFFE77FE10B029C7B0019,028EFFDA7FD30B029C7C001C,028FFFE57FE50B059C7B001B,0290FFD87FDD0B079C85001E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544BD001457A5000E9C8F001D2715,02929C6E,Passed,Passed,2502.85413,0286DA7E77E20B676E10000C89DE0014,Passed,02876E72001A,Passed,72917,55802,67834,64384,70229,79621,74702,65284,67389,72410,72760,19278,24046,23.8722201,23.8719936,23.8724263,23.874733,23.8747248,23.8748313,23.8747789,23.8748613,23.8749722,23.8733253,23.87378,23.8759188,23.8759282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891357028,0.0945176356,0.102270462,0.0905242206,0.0808591985,0.0776248912,0.0768614803,0.0737394666,0.0770124658,0.0753794653,0.0784805508,0.0864783752,0.0856281602,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9994,9996,9997,9997,9997,9997,9998,9997,9998,10.07,0.00,9.91,0.00,80.28,9.99,9.99,9999,10.01,10009,Passed,Passed,10.00,0.04,Passed,18862,36042,8089,16173,Passed,Passed,Passed,Passed,99999,99999,46303,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.7386,Passed,Passed,Passed,00:12:EA:11:03:8C,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306481,21/01/2023 01:15:31 a. m.,164.83s,1,Failed,Binary Input 16 High,0.186203,23.7019521,5.01902984,3.33529422,1.34998797,1.2702455,23.7034522,1.92688523,Passed,Passed,011F81,0288FFE07FE40B0F9C5C0010,0289FFDA7FDC0B0F9C5D000D,028AFFD77FDB0B0A9C5F0015,028BFFD17FD90B0B9C600017,028CFFD27FD60B059C5D0019,028DFFCF7FD00B079C5E0018,028EFFCD7FD10B099C600018,028FFFD67FDA0B0D9C600012,0290FFCD7FDC0B0F9C670019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544EC0017579A00179C6D00192726,02929C4A,Passed,Passed,2500.59838,0286DA5977E80B626E1E000E8A1E0010,Passed,02876E5E001C,Passed,51502,54892,25163,71289,49624,57248,66492,50098,18862,27231,5857,71890,80769,23.8669718,23.8668824,23.8669733,23.8690067,23.8688356,23.8689295,23.8689108,23.8691138,23.8690615,23.8668169,23.8679281,23.8701377,23.8700758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076366163,0.0827390546,0.0892618717,0.120281093,0.113356304,0.107311583,0.119662342,0.137266801,0.109539652,0.114754825,0.132615218,0.122445045,0.142264078,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230306897,21/01/2023 01:15:33 a. m.,8.19s,2,Failed,UUT Current Measurment,0.000443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230306970,21/01/2023 02:55:33 a. m.,490.66s,2,Failed,Login to SO and Change Directory,0.188217,23.7694522,5.02078687,3.34319651,1.35048532,1.27193262,23.7692348,1.88070695,Passed,Passed,011F81,0288FFD47FE20B0E9C310007,0289FFD97FE60B0D9C2E0017,028AFFD47FD00B049C310014,028BFFD27FD70B009C340016,028CFFD17FD60AFC9C330012,028DFFD37FD60AFD9C2F001D,028EFFCA7FD60B009C31001A,028FFFD67FD70B029C2F0016,0290FFC97FE10B0A9C37001E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FB0015578500109C4400182722,02929C21,Passed,Passed,2498.05723,0286DB4878620B746E25000F8A1E0014,Passed,02876DB0001A,Passed,73971,56709,67122,64735,62274,79575,75630,64384,71153,69356,71558,21430,27923,23.8771479,23.8773407,23.876802,23.8793304,23.8795105,23.8796033,23.8796377,23.8796403,23.879719,23.8783442,23.8783977,23.8805807,23.8808618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127027796,0.14269283,0.152597875,0.137782263,0.131911372,0.137050801,0.139825275,0.13984005,0.142791014,0.143116792,0.140780671,0.135594499,0.139294361,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10002,10002,10002,10001,10001,10001,10001,10000,10000,10.09,0.00,9.95,0.00,80.47,9.99,9.99,9998,10.01,10015,Passed,Passed,10.02,0.04,Passed,18651,35387,8089,17336,Passed,Passed,Passed,Passed,99999,99999,44543,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.8661,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230306531,21/01/2023 02:58:29 a. m.,728.39s,1,Passed,,0.187897,23.7778917,5.00661207,3.34573303,1.34754096,1.27598392,23.7793183,1.99744062,Passed,Passed,011F81,0288FFDC7FE80B0B9C55000B,0289FFD57FE00B099C55000D,028AFFCF7FDC0B069C59000F,028BFFD07FE00B089C570016,028CFFD07FDF0B049C53001B,028DFFCE7FDC0B049C550019,028EFFCB7FD80B059C5B0016,028FFFD37FDF0B099C57000F,0290FFCB7FE20B0C9C5F001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DC0016579300189C6900162714,02929C43,Passed,Passed,2500.1815,0286DB1478550B806E37000E8A550011,Passed,02876DF3001D,Passed,54402,57479,32864,79891,60617,65973,71692,66449,36226,35196,6628,65531,77458,23.8762529,23.8764899,23.8767148,23.8786582,23.8787852,23.8787672,23.8788774,23.8786743,23.8791211,23.8765795,23.8778547,23.8801677,23.8791734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878312835,0.0934348674,0.0958514666,0.116126071,0.118328435,0.111545945,0.108468586,0.123350913,0.0942439537,0.099011643,0.0966043582,0.101396931,0.0963919985,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,9999,9998,9999,9999,9999,9999,9999,9999,10.10,0.02,10.03,0.00,80.27,10.00,9.98,10000,10.01,10005,Passed,Passed,10.04,0.04,Passed,24371,59274,31189,30838,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32771.1667,Passed,Passed,Passed,00:12:EA:11:03:8E,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306966,21/01/2023 03:08:57 a. m.,521.63s,1,Passed,,0.187439,23.748053,5.02821406,3.32473343,1.34865653,1.27650862,23.7496729,1.80092873,Passed,Passed,011F81,0288FFDD7FD50B0A9C3B0013,0289FFDB7FDF0B0B9C3D0010,028AFFD67FD60B059C410014,028BFFD27FDA0B079C420015,028CFFD37FD80AFD9C3D001A,028DFFCF7FDA0AFE9C400016,028EFFCD7FCD0AFF9C410017,028FFFD87FDC0B0A9C400012,0290FFCC7FDC0B0A9C450018,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D10011577D00199C46001C2714,02929C2C,Passed,Passed,2498.73393,0286DA6777E30B6D6DF7000D89C30014,Passed,02876E1D001B,Passed,55551,57014,30116,79621,55587,64242,71692,63119,37031,36943,7371,73595,81067,23.867644,23.8677015,23.8680796,23.8697756,23.87009,23.8700181,23.8700093,23.8698972,23.8701684,23.8676843,23.868738,23.8711581,23.8711444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118508461,0.118591563,0.11966036,0.150660704,0.129647866,0.130792401,0.122930287,0.137930114,0.113568572,0.137348604,0.14584996,0.140031179,0.140342028,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10002,10003,10002,10002,10000,10001,10002,10001,10.06,0.01,9.90,0.00,80.21,10.00,9.98,9995,10.01,10001,Passed,Passed,9.99,0.03,Passed,24371,58816,31073,29240,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.9901,Passed,Passed,Passed,00:12:EA:11:03:8F,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306635,21/01/2023 03:12:07 a. m.,711.49s,2,Passed,,0.186829,23.688559,4.99830225,3.31899608,1.34725868,1.27137271,23.6886274,1.89925423,Passed,Passed,011F81,0288FFD17FEE0B109C28000B,0289FFD47FE60B0F9C1B0018,028AFFCD7FE20B0B9C180022,028BFFCA7FE20B099C1A0024,028CFFCB7FDE0B079C1E001D,028DFFCB7FE20B079C1E001E,028EFFC67FDE0B099C240017,028FFFCF7FE40B0A9C1E001A,0290FFC67FE80B0E9C28001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D80017576B00049C3200192728,02929C12,Passed,Passed,2497.10429,0286D996777D0B5E6E20000B8A240010,Passed,02876DE3001A,Passed,70913,55151,65329,63688,63044,75409,72135,58031,64360,64688,70705,27923,23549,23.8797484,23.8789848,23.8800991,23.8819434,23.8820943,23.8821623,23.8822563,23.8822251,23.8824242,23.8807486,23.8808891,23.883356,23.8836545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795856107,0.100787314,0.101080289,0.103242864,0.104405138,0.111959266,0.124804317,0.138463546,0.140271459,0.142922864,0.153257625,0.14445783,0.157873384,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9992,9993,9994,9995,9995,9993,9995,9996,9995,10.06,0.01,10.12,0.00,80.32,10.00,10.00,9995,10.01,10020,Passed,Passed,10.00,0.04,Passed,18004,35764,8089,17336,Passed,Passed,Passed,Passed,99999,99999,41798,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.7571,Passed,Passed,Passed,00:12:EA:11:03:90,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306500,21/01/2023 03:22:25 a. m.,519.80s,2,Passed,,0.188141,23.7046213,4.99180375,3.33113368,1.3486385,1.27105842,23.7046933,23.7040372,Passed,Passed,011F81,0288FFD67FE10B109C21000C,0289FFDC7FDB0B0C9C25000D,028AFFD57FD30B089C220013,028BFFD47FD70B049C1F0017,028CFFD37FD30B009C230013,028DFFD57FD60B049C200019,028EFFCE7FD30B069C1F001A,028FFFD87FDC0B099C1D0019,0290FFCD7FDC0B0B9C290013,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DA000C577D00139C320014271F,02929C0E,Passed,Passed,2496.90361,0286DAB478030B706E27000B8A260011,Passed,02876E550018,Passed,72410,60332,65621,66851,66704,76806,72697,64965,57114,68618,70999,18651,19686,23.8722731,23.8721986,23.8715469,23.8747392,23.874911,23.8748147,23.87477,23.8746332,23.8748545,23.8734112,23.8734592,23.8760314,23.8761673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106944646,0.106518805,0.102166746,0.0950775184,0.0974743017,0.0884869749,0.0921191197,0.087713637,0.093271143,0.0917755943,0.0949320706,0.108946129,0.102889914,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10001,10000,10001,10001,10001,10001,10000,10001,10000,10.07,0.00,9.95,0.00,80.26,9.99,9.99,9997,10.01,10012,Passed,Passed,9.99,0.04,Passed,18222,29494,7733,15193,Passed,Passed,Passed,Passed,99999,99999,41868,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.7695,Passed,Passed,Passed,00:12:EA:11:03:91,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306670,21/01/2023 03:25:46 a. m.,720.89s,1,Passed,,0.184891,23.7895896,4.99179981,3.30759419,1.34905479,1.27432079,23.7911238,23.7909622,Passed,Passed,011F81,0288FFDC7FE60B0F9C540007,0289FFDC7FDB0B0E9C570008,028AFFD37FDC0B0C9C5B000B,028BFFD67FDA0B0C9C5B000F,028CFFD77FDA0B099C5B000E,028DFFD67FD90B099C570014,028EFFD27FD40B0A9C5D0010,028FFFD97FD90B0D9C5D000A,0290FFD27FDD0B0F9C5F0014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544CD0019578200029C69000D271E,02929C42,Passed,Passed,2500.1486,0286D90077070B536E33000B8A3E000D,Passed,02876E650017,Passed,59092,59573,33498,80531,61203,64988,73321,68327,34907,44482,9121,65262,75143,23.8714265,23.8718491,23.8720228,23.8739316,23.8738985,23.873929,23.8741361,23.8741159,23.8743424,23.8717749,23.8728461,23.8752475,23.8751728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873046561,0.0890884744,0.0885099041,0.107641917,0.102747994,0.106984832,0.0904322809,0.0990192145,0.0856547183,0.107027686,0.115796147,0.108812398,0.10369263,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9999,10000,10000,10000,10000,10000,10000,10001,10000,10.03,0.01,10.08,0.02,80.20,10.00,10.00,9998,10.01,10006,Passed,Passed,9.99,0.04,Passed,23210,50880,30480,25925,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.2214,Passed,Passed,Passed,00:12:EA:11:03:92,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
