,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230306550,21/01/2023 12:02:49 a. m.,721.19s,1,Passed,,0.187485,23.837186,4.99552895,3.32545721,1.34832249,1.27336964,23.8385406,1.84843947,Passed,Passed,011F81,0288FFE17FE00B099C69000F,0289FFE27FDE0B089C680011,028AFFDD7FDC0B069C6C0012,028BFFDA7FDA0B069C6A0016,028CFFDA7FDC0B019C6B0016,028DFFD97FDC0B039C6A0017,028EFFD47FD40B029C6D0015,028FFFDE7FDD0B089C6A0014,0290FFD47FE10B099C710017,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E7001457B4000E9C74001A2719,02929C5A,Passed,Passed,2501.6381,0286D98477680B5B6E53000E8A480015,Passed,02876E73001A,Passed,59956,59334,32971,80368,60617,66017,71824,65442,37206,37807,9121,69393,79936,23.8726449,23.8728131,23.8730634,23.8748053,23.8747644,23.8749464,23.8747872,23.8748985,23.8750965,23.8726505,23.8738914,23.8759842,23.8764477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859519239,0.0898490555,0.101568477,0.139213441,0.123679511,0.118617823,0.12897104,0.146415994,0.115385959,0.135691665,0.149290587,0.142630689,0.149177997,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10002,10001,10001,10001,10001,10000,10000,10001,10000,10.08,0.01,10.13,0.00,80.27,10.00,9.99,9997,10.01,10007,Passed,Passed,10.02,0.04,Passed,23716,58537,29993,30838,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32771.305,Passed,Passed,Passed,00:12:EA:11:03:83,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306728,21/01/2023 12:13:22 a. m.,491.66s,2,Failed,Login to SO and Change Directory,0.184601,23.7286661,5.00341664,3.33525938,1.35315871,1.27163463,23.7294781,1.82430182,Passed,Passed,011F81,0288FFD47FDE0B0E9C6F0009,0289FFD97FD80B0D9C6B000B,028AFFD77FD40B0A9C67001B,028BFFD57FD80B079C6E0015,028CFFD37FD80B049C6D000F,028DFFD37FD70B059C64001C,028EFFCC7FD60B069C660021,028FFFD67FDC0B089C650018,0290FFCA7FDB0B0B9C6F001D,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D5001A579800189C74001E271E,02929C59,Passed,Passed,2501.53928,0286DA7077DE0B646E1F000F8A1D0012,Passed,02876E5C001D,Passed,74774,63639,66725,65419,71841,81383,77141,66299,71441,72602,73274,22160,23716,23.8779495,23.8782413,23.8781854,23.8802957,23.8805291,23.8806003,23.8807113,23.8807781,23.8807984,23.8794032,23.8794808,23.8816398,23.8818406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153887004,0.17716823,0.190003056,0.170830094,0.156924248,0.165063521,0.166635529,0.168315645,0.170263893,0.169171304,0.1694639,0.158637462,0.167074249,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10002,10002,10001,10001,10001,10001,10000,10000,10.09,0.00,9.93,0.00,80.26,9.99,9.99,9994,10.01,10012,Passed,Passed,9.99,0.04,Passed,18651,32971,7733,12234,Passed,Passed,Passed,Passed,99999,99999,41938,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.8868,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230306864,21/01/2023 12:16:48 a. m.,730.05s,1,Passed,,0.191559,23.7517338,4.98724964,3.32560817,1.35187003,1.27617455,23.7533338,1.85168717,Passed,Passed,011F81,0288FFE27FF90B129BE20006,0289FFDF7FEE0B109BE10008,028AFFDA7FF30B0D9BE4000B,028BFFD77FED0B0D9BE5000C,028CFFD77FEF0B089BE2000F,028DFFD47FE70B099BE3000F,028EFFD07FE60B0B9BE5000E,028FFFDA7FF00B109BE3000B,0290FFCF7FF20B0F9BEA000E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02854492000A575000049BED000B2709,02929BD6,Passed,Passed,2493.38459,0286DAB5782F0B746DAA001189B3000B,Passed,02876E15001A,Passed,55114,56913,31421,78728,57708,65930,72665,63688,36677,32540,7003,73089,79936,23.8719525,23.8720563,23.872255,23.8738796,23.874293,23.874108,23.8743243,23.8743472,23.8744986,23.8719561,23.8729708,23.8752463,23.8752877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101956706,0.102777226,0.106368938,0.146266431,0.121908122,0.114856255,0.114314137,0.132990042,0.0989185857,0.0976736441,0.122752951,0.12841915,0.126419642,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9994,9997,9995,9995,9997,9999,9997,9996,9998,10.06,0.00,10.02,0.00,80.21,10.00,10.01,9995,10.01,9986,Passed,Passed,9.99,0.04,Passed,23210,51502,30238,23716,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0423,Passed,Passed,Passed,00:12:EA:11:03:85,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306485,21/01/2023 12:26:46 a. m.,522.91s,2,Passed,,0.190903,23.7858832,5.0011051,3.33809831,1.35375004,1.27639195,23.7867123,23.785993,Passed,Passed,011F81,0288FFD87FD30B0E9C620008,0289FFDA7FD10B0C9C610006,028AFFD17FD20B099C610015,028BFFD07FCF0B069C5F0012,028CFFD17FD10B069C5B001A,028DFFD17FD00B069C5D0015,028EFFCC7FD20B089C630016,028FFFD57FD40B099C5D0012,0290FFCD7FD60B0C9C63001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E9001B578600069C68001B2722,02929C49,Passed,Passed,2500.56178,0286DAB877F30B5F6E45000D8A530010,Passed,02876E380019,Passed,71857,62968,68308,68033,72823,79416,77128,63169,70140,69449,71051,24532,25624,23.873485,23.8734896,23.8736719,23.875601,23.8758752,23.8759903,23.8759033,23.8760804,23.8763017,23.8747359,23.8749684,23.8773114,23.8771732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918701434,0.104011786,0.0967114734,0.0980939536,0.100407723,0.101103959,0.0951156361,0.103285268,0.110030483,0.106519748,0.0967716234,0.110121756,0.114608743,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10010,10007,10003,10005,10003,10005,10003,10003,10003,10.09,0.01,9.72,0.00,80.34,9.99,10.01,9996,10.01,10011,Passed,Passed,10.03,0.03,Passed,18004,29620,7733,12521,Passed,Passed,Passed,Passed,99999,99999,43216,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0328,Passed,Passed,Passed,00:12:EA:11:03:86,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306771,21/01/2023 12:30:06 a. m.,722.72s,1,Passed,,0.189575,23.6414976,4.99055547,3.32516508,1.35158879,1.2763312,23.6428381,1.85094379,Passed,Passed,011F81,0288FFC87FE30B0E9C5F000B,0289FFD47FDA0B0D9C61000A,028AFFC47FDA0B0A9C600010,028BFFC57FDA0B0B9C610011,028CFFC97FD70B069C5D0016,028DFFD27FD70B069C5C0018,028EFFC77FD40B089C5E0019,028FFFC97FD70B0C9C60000E,0290FFC57FDE0B0E9C630019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544F40018579A00039C6D00112720,02929C49,Passed,Passed,2500.56148,0286D9D577930B5E6DFB000D89BC0013,Passed,02876E45001A,Passed,56572,56191,33289,80801,62993,63565,74163,65442,38309,33498,8089,71153,77154,23.8713212,23.8713702,23.8716189,23.8734436,23.8734492,23.8736292,23.8736566,23.8734712,23.8736283,23.8711647,23.8723651,23.8745089,23.8741115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102488903,0.103791582,0.112993282,0.152631791,0.137124404,0.136124566,0.134746008,0.153285168,0.122160357,0.152062252,0.165150139,0.156795149,0.16226312,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10002,10000,10001,10001,10001,10000,10000,10000,10000,10.06,0.00,9.80,0.00,80.48,10.00,10.00,9995,10.01,10012,Passed,Passed,10.03,0.04,Passed,23716,59304,30238,30956,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.3634,Passed,Passed,Passed,00:12:EA:11:03:87,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230306760,21/01/2023 12:40:41 a. m.,525.04s,1,Passed,,0.186539,23.6291001,4.99100996,3.33912185,1.34552656,1.27532971,23.6306279,23.6303488,Passed,Passed,011F81,0288FFE47FEA0B0B9C07000C,0289FFDE7FE60B0E9C07000B,028AFFDD7FE40B089C080013,028BFFD67FE40B0A9C090014,028CFFD47FE10B049C090014,028DFFCF7FDB0B069C080014,028EFFCD7FD40B069C0B0015,028FFFDB7FE60B0C9C0A0010,0290FFCE7FE80B0E9C110016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544BA0018574800109C1800162714,02929BF6,Passed,Passed,2495.37032,0286DB1F78290B6A6DF8000D89BB0012,Passed,02876DDA001D,Passed,52982,55261,32431,80225,55515,63882,70999,64122,35764,35387,7003,75227,83904,23.8712084,23.8711367,23.8716447,23.8732409,23.8733983,23.873375,23.8734782,23.8734979,23.8735231,23.8713109,23.8723861,23.8746892,23.8744324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111237044,0.116231981,0.122506901,0.158554671,0.149689901,0.152415637,0.147469186,0.169528248,0.138832617,0.168351828,0.184471263,0.173316774,0.177740687,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9993,9996,9994,9995,9996,9998,9997,9995,9997,10.08,0.00,10.02,0.00,80.24,10.00,9.99,9999,10.01,10002,Passed,Passed,10.01,0.04,Passed,23882,58190,30956,30480,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.4537,Passed,Passed,Passed,00:12:EA:11:03:88,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
